# Wavelength(um) Reflectance(%)
8.788788788788788331e-01 3.520785260417954796e-03
8.801301301301300839e-01 4.346221997129182980e-03
8.813813813813813347e-01 5.245181636180183855e-03
8.826326326326325855e-01 6.212455929170466670e-03
8.838838838838838363e-01 7.242427015793911384e-03
8.851351351351350871e-01 8.329113759469097822e-03
8.863863863863863379e-01 9.466219517023029967e-03
8.876376376376375887e-01 1.064718080997800048e-02
8.888888888888888395e-01 1.186521638559001092e-02
8.901401401401400904e-01 1.311337618392589138e-02
8.913913913913913412e-01 1.438458976175048531e-02
8.926426426426425920e-01 1.567171376362573240e-02
8.938938938938938428e-01 1.696757807407600974e-02
8.951451451451450936e-01 1.826503033073135357e-02
8.963963963963963444e-01 1.955697852576173193e-02
8.976476476476475952e-01 2.083643147054808908e-02
8.988988988988988460e-01 2.209653694534678345e-02
9.001501501501500968e-01 2.333061740078757815e-02
9.014014014014013476e-01 2.453220312061986721e-02
9.026526526526525984e-01 2.569506279455006925e-02
9.039039039039038492e-01 2.681323148580876461e-02
9.051551551551551000e-01 2.788103600987300659e-02
9.064064064064063508e-01 2.889311776836170007e-02
9.076576576576576016e-01 2.984445310536538651e-02
9.089089089089088525e-01 3.073037127241222063e-02
9.101601601601601033e-01 3.154657010298401315e-02
9.114114114114113541e-01 3.228912950814593480e-02
9.126626626626626049e-01 3.295452291170545417e-02
9.139139139139138557e-01 3.353962674662079591e-02
9.151651651651651065e-01 3.404172813449265339e-02
9.164164164164163573e-01 3.445853086721288594e-02
9.176676676676676081e-01 3.478815980460055884e-02
9.189189189189188589e-01 3.502916379446947837e-02
9.201701701701701097e-01 3.518051721243206642e-02
9.214214214214213605e-01 3.524162020819489316e-02
9.226726726726726113e-01 3.521229773350285225e-02
9.239239239239238621e-01 3.509279741456688972e-02
9.251751751751751129e-01 3.488378631909237748e-02
9.264264264264263637e-01 3.458634665520726043e-02
9.276776776776776146e-01 3.420197042696004192e-02
9.289289289289288654e-01 3.373255305888333416e-02
9.301801801801801162e-01 3.318038599064963151e-02
9.314314314314313670e-01 3.254814823231601262e-02
9.326826826826826178e-01 3.183889686127751306e-02
9.339339339339338686e-01 3.105605643403124352e-02
9.351851851851851194e-01 3.020340727936721148e-02
9.364364364364363702e-01 2.928507263482170442e-02
9.376876876876876210e-01 2.830550458529617133e-02
9.389389389389388718e-01 2.726946876178025156e-02
9.401901901901901226e-01 2.618202775923233333e-02
9.414414414414413734e-01 2.504852323592948737e-02
9.426926926926926242e-01 2.387455666205814953e-02
9.439439439439438750e-01 2.266596869298721437e-02
9.451951951951951258e-01 2.142881715252504746e-02
9.464464464464463767e-01 2.016935362346436098e-02
9.476976976976976275e-01 1.889399865674068479e-02
9.489489489489488783e-01 1.760931562645949577e-02
9.502002002002001291e-01 1.632198327566072860e-02
9.514514514514514909e-01 1.503876701677892003e-02
9.527027027027027417e-01 1.376648907101155062e-02
9.539539539539539925e-01 1.251199755192478925e-02
9.552052052052052433e-01 1.128213462020652771e-02
9.564564564564564941e-01 1.008370385813113675e-02
9.577077077077077449e-01 8.923437033564176821e-03
9.589589589589589957e-01 7.807960443770997454e-03
9.602102102102102466e-01 6.743761048378253686e-03
9.614614614614614974e-01 5.737152618129295716e-03
9.627127127127127482e-01 4.794242141054679864e-03
9.639639639639639990e-01 3.920896739925048419e-03
9.652152152152152498e-01 3.122711363920355893e-03
9.664664664664665006e-01 2.404977522971093930e-03
9.677177177177177514e-01 1.772653334903791450e-03
9.689689689689690022e-01 1.230335153092024887e-03
9.702202202202202530e-01 7.822310356531655181e-04
9.714714714714715038e-01 4.321363062564176978e-04
9.727227227227227546e-01 1.834114413707923683e-04
9.739739739739740054e-01 3.896249942500358126e-05
9.752252252252252562e-01 1.224284117721644920e-06
9.764764764764765070e-01 7.214640734651217655e-05
9.777277277277277578e-01 2.531823873633393921e-04
9.789789789789790087e-01 5.452818853219618990e-04
9.802302302302302595e-01 9.488861489545724398e-04
9.814814814814815103e-01 1.463926696336193727e-03
9.827327327327327611e-01 2.089827236254795072e-03
9.839839839839840119e-01 2.825508785287218511e-03
9.852352352352352627e-01 3.669397905993389275e-03
9.864864864864865135e-01 4.619437956349902591e-03
9.877377377377377643e-01 5.673103208287110302e-03
9.889889889889890151e-01 6.827415663552295448e-03
9.902402402402402659e-01 8.078964368603121227e-03
9.914914914914915167e-01 9.423927007256095376e-03
9.927427427427427675e-01 1.085809353072876050e-02
9.939939939939940183e-01 1.237689156972668000e-02
9.952452452452452691e-01 1.397541336250040372e-02
9.964964964964965199e-01 1.564844392634281295e-02
9.977477477477477708e-01 1.739049019776454583e-02
9.989989989989990216e-01 1.919581086842922502e-02
1.000250250250250161e+00 2.105844664958409287e-02
1.001501501501501412e+00 2.297225070694582441e-02
1.002752752752752663e+00 2.493091902035340923e-02
1.004004004004003914e+00 2.692802043766726050e-02
1.005255255255255165e+00 2.895702620985760728e-02
1.006506506506506415e+00 3.101133881360047112e-02
1.007757757757757666e+00 3.308431988848787447e-02
1.009009009009008917e+00 3.516931713771630219e-02
1.010260260260260168e+00 3.725969006345715429e-02
1.011511511511511419e+00 3.934883443052481639e-02
1.012762762762762669e+00 4.143020537421170796e-02
1.014014014014013920e+00 4.349733908977556490e-02
1.015265265265265171e+00 4.554387306185617157e-02
1.016516516516516422e+00 4.756356481177747425e-02
1.017767767767767673e+00 4.955030915903343991e-02
1.019019019019018923e+00 5.149815401016965416e-02
1.020270270270270174e+00 5.340131470356308807e-02
1.021521521521521425e+00 5.525418695226787247e-02
1.022772772772772676e+00 5.705135843905231180e-02
1.024024024024023927e+00 5.878761912803009970e-02
1.025275275275275177e+00 6.045797036587127055e-02
1.026526526526526428e+00 6.205763285258803635e-02
1.027777777777777679e+00 6.358205356730040059e-02
1.029029029029028930e+00 6.502691173838978655e-02
1.030280280280280181e+00 6.638812395003929057e-02
1.031531531531531432e+00 6.766184847853494444e-02
1.032782782782782682e+00 6.884448895190668771e-02
1.034034034034033933e+00 6.993269742565631775e-02
1.035285285285285184e+00 7.092337696558438653e-02
1.036536536536536435e+00 7.181368382613585732e-02
1.037787787787787686e+00 7.260102930940502686e-02
1.039039039039038936e+00 7.328308138601209720e-02
1.040290290290290187e+00 7.385776615459858918e-02
1.041541541541541438e+00 7.432326921175899659e-02
1.042792792792792689e+00 7.467803699888848901e-02
1.044044044044043940e+00 7.492077818675185741e-02
1.045295295295295190e+00 7.505046515260604956e-02
1.046546546546546441e+00 7.506633559847647463e-02
1.047797797797797692e+00 7.496789435273394642e-02
1.049049049049048943e+00 7.475491539045744926e-02
1.050300300300300194e+00 7.442744410122109633e-02
1.051551551551551444e+00 7.398579982591740878e-02
1.052802802802802695e+00 7.343057867702922070e-02
1.054054054054053946e+00 7.276265664939010613e-02
1.055305305305305197e+00 7.198319302092462402e-02
1.056556556556556448e+00 7.109363403513514756e-02
1.057807807807807698e+00 7.009571684918966539e-02
1.059059059059058949e+00 6.899147372337635642e-02
1.060310310310310200e+00 6.778323641941176592e-02
1.061561561561561451e+00 6.647364076662909405e-02
1.062812812812812702e+00 6.506563134645777791e-02
1.064064064064063952e+00 6.356246623681645336e-02
1.065315315315315203e+00 6.196772174914828846e-02
1.066566566566566454e+00 6.028529708184312413e-02
1.067817817817817705e+00 5.851941880475424601e-02
1.069069069069068956e+00 5.667464508052502681e-02
1.070320320320320207e+00 5.475586951954852094e-02
1.071571571571571457e+00 5.276832455666553151e-02
1.072822822822822708e+00 5.071758422933991817e-02
1.074074074074073959e+00 4.860956622906893038e-02
1.075325325325325210e+00 4.645053309043931100e-02
1.076576576576576461e+00 4.424709237561401387e-02
1.077827827827827711e+00 4.200619570634430561e-02
1.079079079079078962e+00 3.973513649106797524e-02
1.080330330330330213e+00 3.744154619144760693e-02
1.081581581581581464e+00 3.513338897108907177e-02
1.082832832832832715e+00 3.281895456938091482e-02
1.084084084084083965e+00 3.050684924564416034e-02
1.085335335335335216e+00 2.820598464334605690e-02
1.086586586586586467e+00 2.592556443120968418e-02
1.087837837837837718e+00 2.367506858790006941e-02
1.089089089089088969e+00 2.146423520976011370e-02
1.090340340340340219e+00 1.930303973698083500e-02
1.091591591591591470e+00 1.720167151274885203e-02
1.092842842842842721e+00 1.517050761241968068e-02
